('Total Revenue', '198,270,000', '198,270,000', '168,088,000', '143,015,000', '125,843,000')
         451930 function calls (436616 primitive calls) in 10.159 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.064    0.064 dammit.py:2(<module>)
        1    0.000    0.000    0.180    0.180 __init__.py:2(<module>)
        1    0.000    0.000    0.013    0.013 css_match.py:1(<module>)
       17    0.000    0.000    0.000    0.000 {built-in method _imp.exec_builtin}
       64    0.000    0.000    0.000    0.000 {method 'rindex' of 'str' objects}
      102    0.000    0.000    0.000    0.000 typing.py:324(__eq__)
       16    0.000    0.000    0.000    0.000 enum.py:522(_check_for_existing_members)
        1    0.000    0.000    0.121    0.121 ssl.py:983(_create)
        1    0.000    0.000    0.000    0.000 __init__.py:457(reset)
        4    0.000    0.000    0.000    0.000 enum.py:978(_decompose)
       44    0.000    0.000    0.000    0.000 abc.py:7(abstractmethod)
