('Total Revenue', '198,270,000', '198,270,000', '168,088,000', '143,015,000', '125,843,000')
         529436 function calls (509921 primitive calls) in 1.704 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       21    0.000    0.000    0.008    0.000 response.py:677(_update_chunk_length)
        1    0.000    0.000    0.002    0.002 datetime.py:1(<module>)
       14    0.000    0.000    0.000    0.000 __init__.py:218(_acquireLock)
       16    0.000    0.000    0.000    0.000 enum.py:579(_find_new_)
       34    0.000    0.000    0.006    0.000 element.py:1846(find)
      101    0.000    0.000    0.000    0.000 re.py:270(escape)
        1    0.000    0.000    0.123    0.123 __init__.py:8(<module>)
        6    0.000    0.000    0.000    0.000 _collections_abc.py:824(update)
        1    0.000    0.000    0.138    0.138 __init__.py:120(__init__)
    21/17    0.000    0.000    0.028    0.002 <frozen importlib._bootstrap>:406(spec_from_loader)
       42    0.000    0.000    0.000    0.000 enum.py:532(_get_mixins_)
        2    0.000    0.000    0.035    0.017 connection.py:1(<module>)
        1    0.000    0.000    0.001    0.001 parse.py:1(<module>)
        1    0.000    0.000    0.054    0.054 css_parser.py:431(CSSParser)
      731    0.000    0.000    0.000    0.000 {built-in method builtins.chr}
       18    0.000    0.000    0.000    0.000 _policybase.py:293(header_source_parse)
        1    0.000    0.000    0.027    0.027 url.py:1(<module>)
       36    0.000    0.000    0.023    0.001 element.py:1871(find_all)
      289    0.000    0.000    0.000    0.000 typing.py:669(<genexpr>)
        4    0.000    0.000    0.000    0.000 url.py:210(_encode_invalid_chars)
       13    0.000    0.000    0.000    0.000 functools.py:34(update_wrapper)
        1    0.000    0.000    0.000    0.000 stringprep.py:2(<module>)
        1    0.000    0.000    0.006    0.006 financial.py:16(<listcomp>)
        1    0.000    0.000    1.218    1.218 sessions.py:617(send)
       14    0.000    0.000    0.000    0.000 typing.py:900(__init_subclass__)
        2    0.000    0.000    0.000    0.000 {function socket.close at 0x7f1bfb9e3280}
        1    0.000    0.000    0.009    0.009 cookiejar.py:1(<module>)
        1    0.000    0.000    0.001    0.001 hmac.py:1(<module>)
      168    0.000    0.000    0.000    0.000 {method 'insert' of 'list' objects}
        1    0.000    0.000    0.000    0.000 quoprimime.py:55(<listcomp>)
      311    0.000    0.000    0.000    0.000 css_parser.py:314(get_name)
       10    0.000    0.000    0.000    0.000 parse.py:369(urlparse)
